id,nCorrect_(of 12),n_correct_(predicted first),n_correct_(after test),astrologicalExperienceLabel,Astrologer,typesOfAstrologyExperiencedWith,percentOfTheirAstrologicalInsightsTheyThinkAreAccurate,beliefInAstrologyLabel,beliefInAstrologyScore,answer1Correct,answer2Correct,answer3Correct,answer4Correct,answer5Correct,answer6Correct,answer7Correct,answer8Correct,answer9Correct,answer10Correct,answer11Correct,answer12Correct
12899792,3,6,6,I have a little experience,Astrologer,"Western,Mundane",50,Believer but not total believer,2,1,0,0,0,1,1,0,0,0,0,0,0
12899673,4,3,3,I have a little experience,Astrologer,"Traditional,Western",50,I lean towards believing,1,1,1,0,0,0,0,1,1,0,0,0,0
12898255,2,1,2,I've never done it before,Guesser,,,Total skeptic,-3,0,1,0,0,0,1,0,0,0,0,0,0
12896059,2,4,6,I have a little experience,Astrologer,Western,,On the fence or neither a skeptic nor a believer,0,1,0,0,0,0,1,0,0,0,0,0,0
12888181,2,9,7,I'm between an amateur and an expert,Astrologer,"Esoteric,Traditional",40,I lean towards believing,1,0,1,0,0,0,1,0,0,0,0,0,0
12875571,1,10,10,I'm between an amateur and an expert,Astrologer,"Traditional,Chinese,Western",90,I lean towards believing,1,0,0,0,1,0,0,0,0,0,0,0,0
12875249,2,2,2,I've never done it before,Guesser,Western,,Total skeptic,-3,0,1,0,1,0,0,0,0,0,0,0,0
12874810,2,5,5,I've never done it before,Guesser,Esoteric,50,Total skeptic,-3,0,0,0,0,0,0,1,1,0,0,0,0
12874593,2,2,3,I'm an experienced amateur,Guesser,"Western,Vedic",20,On the fence or neither a skeptic nor a believer,0,1,0,0,0,0,0,1,0,0,0,0,0
12872001,5,0,0,I'm an experienced amateur,Guesser,Hellenistic,,On the fence or neither a skeptic nor a believer,0,1,0,1,0,0,1,1,0,1,0,0,0
12871225,1,6,6,I'm an expert but not world-class,Astrologer,Western,70,Believer but not total believer,2,0,1,0,0,0,0,0,0,0,0,0,0
12870081,3,6,4,I'm an experienced amateur,Astrologer,"Western,Vedic,Chinese",60,I lean towards believing,1,0,0,0,1,1,1,0,0,0,0,0,0
12856791,2,8,4,I have a little experience,Astrologer,,95,Believer but not total believer,2,1,0,0,0,0,0,1,0,0,0,0,0
12855780,2,5,4,I'm between an amateur and an expert,Astrologer,Western,50,Total believer,3,0,1,1,0,0,0,0,0,0,0,0,0
12854934,3,7,4,I'm an experienced amateur,Astrologer,"Mundane,Western,Psychological",60,I lean towards believing,1,0,0,0,0,0,1,0,1,1,0,0,0
12851446,2,10,6,I'm between an amateur and an expert,Astrologer,"Traditional,Western",80,Total believer,3,1,0,0,0,0,0,0,0,1,0,0,0
12849924,3,12,0,I'm an experienced amateur,Astrologer,Humanistic,100,Total believer,3,1,0,0,0,0,0,0,1,0,0,0,1
12847659,2,3,5,I'm an experienced amateur,Astrologer,"Western,Traditional",70,Believer but not total believer,2,1,0,0,0,0,1,0,0,0,0,0,0
12847327,5,3,3,I've never done it before,Guesser,,,Skeptic but not total skeptic,-2,0,1,1,0,0,1,0,0,0,0,1,1
12843551,1,3,3,I've never done it before,Guesser,,,Total skeptic,-3,0,0,0,0,0,0,1,0,0,0,0,0
