Photo Fluorescence,Photo Measure,Replication,Group,Area,IntDen,GFP Density,Eye Diameter (mm),Body Length (mm),Eye/body ratio,Notes,Color Code,pragya's measurements,area,mean,min,max,IntDen,intDen/area,,,,,,,,,,,,,,
C1B/G,C1,1,Control,214846,63549.851,0.2957925724,0.268,4.072,0.06581532417,,Outlier data,1,214846,0.296,0.005,98.025,63549.851,0.2957925724,,,,,,,,,1,1251936,0.07,0,98.025,87330.45
C2B/G,C2,2,Control,205633,55632.692,0.2705435995,0.254,3.39,0.07492625369,,mean data,1,205633,0.271,0.005,101.116,55632.692,0.2705435995,,,,,,,,,1,1251936,0.054,0,101.116,67588.168
C3B/G,C3,3,Control,211447,56214.914,0.2658581772,0.359,4.298,0.08352722196,Dead for eye/body,,1,211447,0.266,0.005,96.083,56214.914,0.2658581772,,,,,,,,,1,1251936,0.071,0,96.083,89441.695
C4B/G,C4,4,Control,188213,41634.302,0.2212084287,0.293,3.977,0.07367362333,,,1,188213,0.221,0.006,88.741,41634.302,0.2212084287,,,,,,,,,1,1251936,0.049,0,88.741,60838.531
C5B/G,C5,5,Control,137284,81509.379,0.5937281766,0.298,4.037,0.07381719098,,,1,137284,0.594,0.003,102.128,81509.379,0.5937281766,,,,,,,,,1,1251936,0.116,0,102.128,145291.389
C6B/G,C6,6,Control,197695,55237.023,0.2794052606,0.29,3.384,0.08569739953,,,1,197695,0.279,0.006,94.887,55237.023,0.2794052606,,,,,,,,,1,1251936,0.089,0,94.887,111664.109
,,Mean,Control,192519.6667,58963.02683,0.3210893692,0.2936666667,3.859666667,0.07624283561,,,,,,,,,,,,,,,,,,,,,,,
D1B/G,D1,1,DMSO control,177113,12339.188,0.06966844896,0.319,3.806,0.0838150289,,,1,177113,0.07,0.005,62.22,12339.188,0.06966844896,,,,,,,,,1,1251936,0.02,0,62.22,25267.274
D2B/G,D2,2,DMSO control,173890,10482.628,0.06028309851,0.318,3.926,0.08099847173,,,1,173890,0.06,0.006,78.937,10482.628,0.06028309851,,,,,,,,,1,1251936,0.046,0,78.937,57134.459
D3B/G,D3,3,DMSO control,173069,25588.799,0.1478531626,0.337,3.894,0.0865434001,,,1,173069,0.148,0.005,97.176,25588.799,0.1478531626,,,,,,,,,1,1251936,0.03,0,97.176,37425.33
