tag,id,latitude,longitude,elevation,subspecies,site,nodeFirstFlower,avgProtandry,avgHerkogamy,avgPetalArea,dateFlowered,admixProportion
S22-1002-P,1002,35.834568,-118.452677,929.083008,P,S22,9,0,1.25,15.85,18345,0.045810057
S22-1003-P,1003,35.834216,-118.452697,949.877686,P,S22,18,0,0.75,23.75,18326,0.059980894
S22-1004-P,1004,35.834132,-118.45266,951.565063,P,S22,14,1,2.5,24.75,18323,0.109143184
S22-1005-P,1005,35.833995,-118.45279,959.278259,P,S22,8,0,1,24.85,18318,0.006654285
S22-1006-P,1006,35.834002,-118.452817,959.662109,P,S22,11,0,0,20.6,18320,0.006510641
S22-1007-P,1007,35.833987,-118.452829,957.70929,P,S22,19,0,0,32.85,18317,0.006951808
S22-1008-P,1008,35.834007,-118.452785,956.509521,P,S22,8,0,0,23.05,18317,0.006575393
S22-1009-P,1009,35.834086,-118.452588,965.351318,P,S22,9,0,0,22.75,18325,0.071301742
S22-1010-P,1010,35.834099,-118.452607,966.680603,P,S22,8,0.5,1,18.45,18333,0.080140244
S22-1011-P,1011,35.834091,-118.452597,966.467346,P,S22,15,0,0.75,31.8,18322,0.054635716
S22-1012-P,1012,35.834092,-118.45259,967.151978,P,S22,9,0,0,14.8,18347,0.057697756
S22-1013-P,1013,35.834047,-118.452501,964.997986,P,S22,21,1,0,23.6,18338,0.053888207
S22-1014-P,1014,35.83398,-118.452506,969.077332,P,S22,16,0.5,0,21.25,18340,0.050764953
S22-1015-P,1015,35.833943,-118.452546,978.94165,P,S22,17,0.5,1,33.4,18335,0.05367461
S22-1016-P,1016,35.833922,-118.452573,974.497314,P,S22,16,0.5,1.5,40.35,18329,0.056340735
S22-1017-P,1017,35.833919,-118.452579,974.624023,P,S22,18,0.5,1,32,18323,0.036364279
S22-1018-P,1018,35.833919,-118.452564,970.305847,P,S22,16,0,0.5,39.5,18326,0.056728905
S22-1020-X,1020,35.833759,-118.452662,971.429871,X,S22,16,7.5,6,182.35,18352,0.116838497
S22-1020-X,1020,35.83374,-118.452666,970.293579,X,S22,16,7.5,6,182.35,18352,0.116838497
S22-1022-X,1022,35.833779,-118.452559,983.596924,X,S22,18,6,9.5,204.75,18345,0.101566342
S22-1026-X,1026,35.834127,-118.45238,970.142456,X,S22,12,6,5.5,161.8,18338,0.096562167
S22-1027-X,1027,35.834147,-118.452379,968.870117,X,S22,22.5,6,8,249.25,18345,0.12158869
S22-1028-X,1028,35.834248,-118.452184,973.886108,X,S22,19,7,6,179.3,18348,0.109355747
S22-1029-X,1029,35.834285,-118.452186,973.262573,X,S22,22,3.5,5.5,238.2,18346,0.11056716
S22-1030-X,1030,35.834491,-118.452057,972.069458,X,S22,16,6,6.5,236.15,18331,0.10626051
S22-1031-X,1031,35.834565,-118.452039,966.843018,X,S22,19,10,8,168.55,18348,0.104405292
S22-1032-X,1032,35.834631,-118.452033,968.601807,X,S22,12,6,7.5,213.35,18348,0.106630628
S22-1033-X,1033,35.834723,-118.452058,961.418518,X,S22,12,5.5,4,140.7,18360,0.079364274
S22-1036-X,1036,35.834635,-118.452383,950.308716,X,S22,9,3.5,6,199.55,18340,0.143238162
S22-1037-X,1037,35.834721,-118.452301,947.317444,X,S22,19.5,5,4,97.6,18355,0.085457876
S22-1038-X,1038,35.834929,-118.452152,943.972168,X,S22,13,5,3,156.9,18348,0.097374035
S22-1039-X,1039,35.834994,-118.452038,946.524292,X,S22,20,6.5,8,152.5,18340,0.107196358
S22-1040-X,1040,35.835362,-118.451656,960.409302,X,S22,11,5,4,197.45,18330,0.103319968
S22-1041-X,1041,35.835398,-118.451591,963.28302,X,S22,22,4.5,6,202,18351,0.10529795
S22-1042-X,1042,35.83541,-118.451566,964.521973,X,S22,16,6.5,10,152,18330,0.091760055
S22-1043-X,1043,35.835738,-118.45113,967.289917,X,S22,18,7.5,7,254.25,18352,0.109570584
S22-1044-X,1044,35.835882,-118.450867,973.543091,X,S22,9.5,6,6,160.1,18332,0.090253511
S22-1045-X,1045,35.835942,-118.450843,971.730408,X,S22,10,6,5.5,137.3,18329,0.105575171
S22-1047-X,1047,35.836737,-118.450948,956.635925,X,S22,7,3.5,3.5,153.05,18331,0.106323126
S22-1048-X,1048,35.836795,-118.450959,958.733093,X,S22,18,6,3.5,185.15,18341,0.090928366
S22-1049-X,1049,35.836928,-118.450937,955.814819,X,S22,16,5,6,223.2,18328,0.107756868
S22-1050-X,1050,35.837127,-118.450773,957.642578,X,S22,23,5.5,4.5,205.9,18346,0.104446208
S22-1051-X,1051,35.837322,-118.450634,956.781433,X,S22,15,6.5,8,240.95,18349,0.081710626
S22-1053-X,1053,35.83883,-118.450672,946.968933,X,S22,22,6,10,230.65,18350,0.113734623
S22-1054-X,1054,35.839012,-118.450711,943.455933,X,S22,14,9,4,160.2,18348,0.098990845
