site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
GC,620,A,GC-620-A,U,12,11/23,9,8.5,2.269,35.73038598,-118.431317,886.211792
GC,620,B,GC-620-B,U,7,11/14,5.5,4.5,1.8775,35.73038598,-118.431317,886.211792
GC,620,C,GC-620-C,U,14,12/2,7.5,2.5,2.6455,35.73038598,-118.431317,886.211792
GC,621,A,GC-621-A,U,10,11/23,6.5,9.75,1.8495,35.73034801,-118.431287,885.743347
GC,621,B,GC-621-B,U,13,11/24,8,8,1.553,35.73034801,-118.431287,885.743347
GC,621,C,GC-621-C,U,11,11/25,8,12.5,1.8045,35.73034801,-118.431287,885.743347
GC,622,A,GC-622-A,U,13,12/1,7.25,4.5,1.6415000000000002,35.730476,-118.431332,888.105225
GC,622,C,GC-622-C,U,12,11/24,10.25,7,2.4074999999999998,35.730476,-118.431332,888.105225
GC,623,A,GC-623-A,U,20,11/25,11,6,2.3175,35.73052201,-118.431318,887.073486
GC,623,B,GC-623-B,U,13,12/3,9.25,9,2.8455000000000004,35.73052201,-118.431318,887.073486
GC,623,C,GC-623-C,U,12,12/3,9.25,9,1.8170000000000002,35.73052201,-118.431318,887.073486
GC,625,A,GC-625-A,U,13,11/25,7,5.75,2.9219999999999997,35.73075403,-118.431233,883.802063
GC,625,B,GC-625-B,U,19,12/2,6.25,12.5,1.8435000000000001,35.73075403,-118.431233,883.802063
GC,625,C,GC-625-C,U,15,11/30,7,5.5,1.925,35.73075403,-118.431233,883.802063
GC,626,A,GC-626-A,U,11,11/24,4,3.5,1.653,35.730808,-118.431159,878.536377
GC,626,C,GC-626-C,U,8,11/20,4.25,7.25,1.588,35.730808,-118.431159,878.536377
GC,627,A,GC-627-A,U,7,11/19,7.5,7,2.05,35.730808,-118.43107,875.123901
GC,627,B,GC-627-B,U,10,11/20,8,5,1.6295,35.730808,-118.43107,875.123901
GC,627,C,GC-627-C,U,6,11/14,5.5,8,1.7309999999999999,35.730808,-118.43107,875.123901
GC,628,A,GC-628-A,U,11,11/21,7.5,6,1.899,35.73089501,-118.430954,867.077454
GC,628,B,GC-628-B,U,13,11/23,8,5,1.7625000000000002,35.73089501,-118.430954,867.077454
GC,628,C,GC-628-C,U,13,11/26,8.25,7,1.7309999999999999,35.73089501,-118.430954,867.077454
GC,629,A,GC-629-A,U,7,11/18,7,6,1.5445,35.73071798,-118.430996,867.04364
GC,629,B,GC-629-B,U,11,11/28,5,2,NA,35.73071798,-118.430996,867.04364
GC,629,C,GC-629-C,U,17,11/25,5.75,6.5,2.2445,35.73071798,-118.430996,867.04364
