locationID,densityFloweringPlants,dayTrial,site,distance,stigmaID,countLabeledPollen
BC-A-10,0,3,BC,10,3-BC-A10ii,6
BC-A-10,0,3,BC,10,3-BC-A10iii,0
BC-A-10,0,2,BC,10,2-BC-A10ii,1
BC-A-10,0,3,BC,10,3-BC-A10i,0
BC-A-10,0,2,BC,10,2-BC-A10iv,7
BC-A-10,0,2,BC,10,2-BC-A10v,1
BC-A-10,0,2,BC,10,2-BC-A10i,0
BC-A-10,0,2,BC,10,2-BC-A10iii,0
BC-A-15,0,3,BC,15,3-BC-A15i,3
BC-A-25,0,4,BC,25,4-BC-A25i,4
BC-A-25,0,2,BC,25,2-BC-A25ii,0
BC-A-25,0,2,BC,25,2-BC-A25i,15
BC-A-25,0,3,BC,25,3-BC-A25i,18
BC-A-35,0,2,BC,35,2-BC-A35i,6
BC-A-5,0,4,BC,5,4-BC-A5i,24
BC-A-5,0,3,BC,5,3-BC-A5i,50
BC-A-5,0,2,BC,5,2-BC-A5i,1
BC-B-10,0,3,BC,10,3-BC-B10i,16
BC-B-10,0,3,BC,10,3-BC-B10iii,12
BC-B-10,0,2,BC,10,2-BC-B10i,13
BC-B-10,0,3,BC,10,3-BC-B10ii,0
BC-B-15,0,2,BC,15,2-BC-B15i,0
BC-B-25,14,4,BC,25,4-BC-B25i,0
BC-B-25,14,3,BC,25,3-BC-B25ii,5
BC-B-25,14,3,BC,25,3-BC-B25i,11
BC-B-25,14,2,BC,25,2-BC-B25i,37
BC-B-35,0,2,BC,35,2-BC-B35i,1
BC-B-35,0,2,BC,35,2-BC-B35ii,1
BC-B-5,0,2,BC,5,2-BC-B5i,9
BC-B-5,0,2,BC,5,2-BC-B5ii,3
BC-C-10,3,3,BC,10,3-BC-C10v,2
BC-C-10,3,3,BC,10,3-BC-C10iii,17
BC-C-10,3,3,BC,10,3-BC-C10i,1
BC-C-10,3,4,BC,10,4-BC-C10i,0
BC-C-10,3,2,BC,10,2-BC-C10i,0
