crabType,bodyTemperature
female,2
female,1.9
female,1.91
female,1.8
female,1.8
female,1.8
female,1.81
female,1.7
female,1.7
female,1.7
female,1.71
female,1.6
female,1.6
female,1.6
female,1.6
female,1.51
female,1.51
female,1.42
female,1.11
intact male,0.91
intact male,1.02
intact male,1.02
intact male,1.12
intact male,1.12
intact male,1.21
intact male,1.22
intact male,1.31
intact male,1.31
intact male,1.32
intact male,1.42
intact male,1.42
intact male,1.42
intact male,1.42
intact male,1.42
intact male,1.42
intact male,1.52
intact male,1.52
intact male,1.91
male major removed,1.93
male major removed,1.73
male major removed,1.63
male major removed,1.63
male major removed,1.63
male major removed,1.53
male major removed,1.53
male major removed,1.53
male major removed,1.43
male major removed,1.43
male major removed,1.43
male major removed,1.44
male major removed,1.33
male major removed,1.34
male major removed,1.24
male major removed,1.24
male major removed,1.24
male major removed,0.94
male minor removed,0.83
male minor removed,0.95
male minor removed,0.94
male minor removed,1.04
male minor removed,1.14
male minor removed,1.15
male minor removed,1.14
male minor removed,1.25
male minor removed,1.25
male minor removed,1.24
male minor removed,1.34
male minor removed,1.34
male minor removed,1.34
male minor removed,1.34
male minor removed,1.44
male minor removed,1.45
male minor removed,1.44
male minor removed,1.44
male minor removed,1.45
male minor removed,1.54
