female,male,sire.2nd.male
uk,uk,74
swiss,uk,77
swiss,uk,72
swiss,uk,81
swiss,uk,75
swiss,uk,76
swiss,uk,78
swiss,uk,68
swiss,uk,81
swiss,uk,74
swiss,uk,71
swiss,uk,58
swiss,uk,67
swiss,uk,63
swiss,uk,83
swiss,swiss,74
swiss,swiss,63
swiss,swiss,51
swiss,swiss,63
swiss,swiss,69
swiss,swiss,61
swiss,swiss,34
swiss,swiss,51
swiss,swiss,62
swiss,swiss,61
swiss,swiss,69
swiss,swiss,59
swiss,swiss,72
swiss,swiss,51
swiss,swiss,56
uk,uk,58
uk,uk,73
uk,uk,88
uk,uk,80
uk,uk,67
uk,uk,65
uk,uk,95
uk,uk,72
uk,uk,75
uk,uk,69
uk,uk,70
uk,uk,56
uk,uk,66
uk,uk,60
uk,uk,81
uk,swiss,92
uk,swiss,96
uk,swiss,98
uk,swiss,99
uk,swiss,85
uk,swiss,84
uk,swiss,93
uk,swiss,75
uk,swiss,93
uk,swiss,99
uk,swiss,92
uk,swiss,93
uk,swiss,93
uk,swiss,100
uk,swiss,97
