ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
A51,GC,0.1667,pink,99.2461,24.0953,50.339,43.1059,1,0.7068,2.1393,0.8386,0.864
A51,SR,1.1667,pink,99.2461,24.0953,50.339,43.1059,1,0.7068,2.1393,0.8386,0.864
B18,GC,0,white,96.8,19.8,57.0266,52.0476,1.9,1.6,2.042,0.8614,0.856
B18,SR,0,white,96.8,19.8,57.0266,52.0476,1.9,1.6,2.042,0.8614,0.856
A30,GC,0.125,pink,96.2,21.4,71.0898,48.4708,1.9,2.8,1.97,0.8485,1.612
A30,SR,0.9167,pink,96.2,21.4,71.0898,48.4708,1.9,2.8,1.97,0.8485,1.612
B121,GC,0.0833,pink,98.4,26.2,64.6738,44.8725,1.5,2.2,2.068,0.8333,1.784
B121,SR,1,pink,98.4,26.2,64.6738,44.8725,1.5,2.2,2.068,0.8333,1.784
B95,GC,0,white,99.2,23.2,69.4575,46.6655,0.6,2.4,2.092,0.8444,1.764
B95,SR,0.1667,white,99.2,23.2,69.4575,46.6655,0.6,2.4,2.092,0.8444,1.764
A14,GC,0,white,97,24.6,44.1181,43.0825,0.1,0.6,2.132,0.8376,0.696
A14,SR,NA,white,97,24.6,44.1181,43.0825,0.1,0.6,2.132,0.8376,0.696
B102,GC,0,white,93.8,15.8,62.8218,57.512,0.2,1.8,2.004,0.8545,0.56
B102,SR,NA,white,93.8,15.8,62.8218,57.512,0.2,1.8,2.004,0.8545,0.56
A37,GC,0,white,95.2,20.8,49.3624,40.129,1.2,1.6,2.168,0.8264,1.372
A37,SR,0,white,95.2,20.8,49.3624,40.129,1.2,1.6,2.168,0.8264,1.372
B23,GC,0,white,95.8,18.8,68.3638,54.5585,2.1,2.2,2.06,0.8369,0.68
B23,SR,0.6667,white,95.8,18.8,68.3638,54.5585,2.1,2.2,2.06,0.8369,0.68
A21,GC,0,pink,98,22.8,61.519,48.0052,1.8,2,2.05,0.8329,1.676
A21,SR,1.25,pink,98,22.8,61.519,48.0052,1.8,2,2.05,0.8329,1.676
A81,GC,0.0625,pink,91,17.8,50.525,44.9256,1.1,2.4,2.27,0.8355,0.88
A81,SR,0.75,pink,91,17.8,50.525,44.9256,1.1,2.4,2.27,0.8355,0.88
A92,GC,0,pink,97.2,18.4,65.3831,50.8284,0.4,2.2,2.04,0.8558,1.328
A92,SR,2,pink,97.2,18.4,65.3831,50.8284,0.4,2.2,2.04,0.8558,1.328
B9,GC,0,white,98.6,23.6,61.7816,51.3999,0.3,1.6,1.762,0.8525,0.928
B9,SR,1,white,98.6,23.6,61.7816,51.3999,0.3,1.6,1.762,0.8525,0.928
B68,GC,0,white,93.2,16.6,56.4032,49.2058,0.2,1.6,2.15,0.8383,0.88
B68,SR,0.0833,white,93.2,16.6,56.4032,49.2058,0.2,1.6,2.15,0.8383,0.88
A123,GC,0,pink,99,23.2,77.5921,54.5337,0.6,2.2,2.202,0.8112,1.584
A123,SR,5.6667,pink,99,23.2,77.5921,54.5337,0.6,2.2,2.202,0.8112,1.584
B45,GC,0,white,91.8,14.6,66.8388,46.5876,0.7,1.8,1.916,0.8275,0.484
B45,SR,0.75,white,91.8,14.6,66.8388,46.5876,0.7,1.8,1.916,0.8275,0.484
A140,GC,1,pink,99.8,22.2,76.905,53.5523,0.3,1.2,1.916,0.8414,1.244
A140,SR,1.8462,pink,99.8,22.2,76.905,53.5523,0.3,1.2,1.916,0.8414,1.244
B81,GC,0,white,92.8,15.2,71.9474,51.2128,1,1.8,1.978,0.8242,0.828
B81,SR,1.8462,white,92.8,15.2,71.9474,51.2128,1,1.8,1.978,0.8242,0.828
B61,GC,0,pink,97.8,19.8,59.4646,55.191,0.7,2.4,2.104,0.8416,1.544
B61,SR,1.0833,pink,97.8,19.8,59.4646,55.191,0.7,2.4,2.104,0.8416,1.544
A9,GC,0,white,95.9961,21.8,46.852,48.8403,1,0.6,2.084,0.8249,0.9376
A9,SR,NA,white,95.9961,21.8,46.852,48.8403,1,0.6,2.084,0.8249,0.9376
A98,GC,0,white,95.2,18.8,73.4828,52.7712,0.8,2,1.932,0.8238,1.076
A98,SR,0.5833,white,95.2,18.8,73.4828,52.7712,0.8,2,1.932,0.8238,1.076
A78,GC,0,pink,91.6,14.2,50.6472,41.2022,0.2,0.6,1.994,0.8372,0.484
