"","Timestamp","id","gender","coffee_drinker","class_rank","coffee_this_am","bed_time","wake_time","gamer","reaction_1","reaction_2","reaction_3"
"1","9/6/2022 10:15:55","13","Male","No","Junior","No",01:00:00,09:37:00,"Yes","304","284","260"
"2","9/6/2022 13:19:00","19","Male","No","Grad Student","No",00:30:00,07:30:00,"No","368","400","411"
"3","9/6/2022 17:45:49","27","Non-Binary","No",NA,"No",02:00:00,10:10:00,"Yes","318","274","329"
"4","9/7/2022 10:58:17","51","Male","Yes","Junior","No",00:30:00,06:30:00,"Yes","240","253","224"
"5","9/7/2022 10:58:26","34","Male","Yes","Senior","Yes",23:00:00,07:30:00,"Yes","307","284","266"
"6","9/7/2022 10:58:54","11","Male","Yes","Junior","No",01:30:00,08:30:00,"No","373","290","339"
"7","9/7/2022 10:58:57","20","Female","Yes","Junior","No",12:00:00,08:30:00,"No","297","314","315"
"8","9/7/2022 10:58:59","26","Male","Yes","Sophmore","No",01:00:00,08:30:00,"Yes","407","347","385"
"9","9/7/2022 10:58:59","17","Male","Yes","Senior","No",23:00:00,07:30:00,"Yes","368","267","245"
"10","9/7/2022 10:59:05","50","Female","Yes","Sophmore","No",01:00:00,08:30:00,"No","348","304","300"
"11","9/7/2022 10:59:06","40","Female","Yes","Grad Student","Yes",00:00:00,07:30:00,"Yes","294","286","292"
"12","9/7/2022 10:59:06","46","Female","Yes","Senior","Yes",22:00:00,08:30:00,"No","321","245","247"
"13","9/7/2022 10:59:08","9","Male","No","Sophmore","No",02:00:00,08:30:00,"No","304","224","211"
"14","9/7/2022 10:59:08","NA","Female","No","Senior","No",00:00:00,06:00:00,"No","314","334","381"
"15","9/7/2022 10:59:10","39","Male","No","Senior","No",02:00:00,07:00:00,"Yes","273","242","285"
"16","9/7/2022 10:59:11","43","Male","Yes","Grad Student","Yes",01:00:00,06:00:00,"Yes","426","367","387"
"17","9/7/2022 10:59:11","8","Non-Binary","Yes","Sophmore","No",00:00:00,08:30:00,"No","234","222","246"
"18","9/7/2022 10:59:14","12","Female","Yes","Grad Student","Yes",01:00:00,07:00:00,"No","352","296","364"
"19","9/7/2022 10:59:14","49","Female","No","Junior","No",00:25:00,08:20:00,"No","280","274","289"
"20","9/7/2022 10:59:19","31","Non-Binary","Yes","Senior","No",23:00:00,08:00:00,"Yes","663","284","256"
"21","9/7/2022 10:59:19","38","Female","Yes","Senior","Yes",23:30:00,06:30:00,"No","237","283","273"
"22","9/7/2022 10:59:24","28","Female","No","Junior","No",01:00:00,08:30:00,"Yes","283","285","269"
"23","9/7/2022 10:59:25","53","Female","Yes","Grad Student","Yes",01:50:00,07:30:00,"No","303","275","235"
"24","9/7/2022 10:59:26","14","Female","No","Junior","No",01:00:00,08:00:00,"Yes","322","337","313"
"25","9/7/2022 10:59:31","22","Female","Yes","Freshman","No",00:00:00,08:30:00,"No","380","273","252"
"26","9/7/2022 10:59:37","10","Male","Yes","Senior","Yes",00:00:00,08:30:00,"Yes","241","239","248"
"27","9/7/2022 10:59:38","38","Female","No","Grad Student","No",00:00:00,08:30:00,"No","325","306","328"
"28","9/7/2022 10:59:38","23","Male","No","Junior","No",00:00:00,08:00:00,"No","293","279","251"
"29","9/7/2022 10:59:42","32","Female","Yes","Grad Student","Yes",23:00:00,07:00:00,"No","319","279","286"
"30","9/7/2022 10:59:44","42","Prefer not to say","No","Senior","No",01:00:00,08:30:00,"Yes","351","334","351"
"31","9/7/2022 10:59:44","41","Non-Binary","No","Sophmore","No",01:00:00,06:00:00,"No","316","311","279"
"32","9/7/2022 10:59:49","6","Female","Yes","Junior","Yes",00:20:00,07:30:00,"No","287","276","429"
"33","9/7/2022 10:59:50","5","Non-Binary","No","Junior","No",22:00:00,07:10:00,"Yes","326","265","302"
"34","9/7/2022 10:59:50","3","Female","No","Grad Student","No",23:30:00,06:30:00,"No","412","366","541"
"35","9/7/2022 10:59:51","54","Male","No","Junior","No",23:00:00,07:40:00,"Yes","271","321","311"
"36","9/7/2022 10:59:53","25","Female","Yes","Junior","Yes",NA,08:48:00,"No","294","301","290"
"37","9/7/2022 10:59:53","16","Non-Binary","No","Grad Student","No",23:00:00,07:00:00,"Yes","343","289","322"
"38","9/7/2022 10:59:53","37","Female","Yes","Senior","No",23:00:00,08:00:00,"No","250","293","242"
"39","9/7/2022 11:00:00","7","Female","No","Senior","No",23:00:00,07:30:00,"No","349","285","295"
"40","9/7/2022 11:00:10","1","Female","No","Grad Student","No",23:00:00,08:30:00,"No","317 ms","311 ms","331 ms"
"41","9/7/2022 11:00:20","47","Female","Yes","Senior","No",02:30:00,07:00:00,"Yes","360","347","338"
"42","9/7/2022 11:00:25","18","Female","Yes","Senior","Yes",10:00:00,07:00:00,"No","306","267","283"
"43","9/7/2022 11:00:37","21","Female","Yes","Junior","No",00:00:00,07:22:00,"No","244","195","202"
"44","9/7/2022 11:00:46","2","Female","Yes","Grad Student","Yes",23:00:00,06:45:00,"No","625","384","490"
"45","9/7/2022 11:00:48","24","Female","No","Junior","No",00:00:00,09:00:00,"Yes","254","251","265"
"46","9/7/2022 11:00:51","36","Female","Yes","Grad Student","Yes",00:00:00,07:30:00,"Yes","280","324","274"
"47","9/7/2022 11:01:04","44","Male","Yes","Sophmore","No",02:00:00,08:00:00,"No","396 ms","439","421"
"48","9/7/2022 11:01:12","4","Female","Yes","Senior","No",22:00:00,06:00:00,"No","311 ms","277 ms","292 ms"
"49","9/7/2022 11:01:39","29","Male","No","Junior","No",23:00:00,08:20:00,"Yes","293","294","280"
"50","9/7/2022 11:01:49","15","Male","Yes","Grad Student","No",00:00:00,09:00:00,"Yes","249","255","251"
"51","9/7/2022 11:02:05","48","Male","Yes","Grad Student","Yes",11:00:00,06:00:00,"No","360","366","319"
"52","9/7/2022 11:02:22","45","Female","Yes","Grad Student","No",11:00:00,07:00:00,"Yes","1118","704","569"
"53","9/7/2022 12:11:56","35","Male","No","Junior","No",00:15:00,08:30:00,"Yes","205ms","241ms","221ms"
"54","9/7/2022 16:47:45","52","Female","No","Senior","No",01:30:00,09:15:00,"Yes","227","216","218"
"55","9/7/2022 23:46:07","30","Male","Yes","Grad Student","Yes",01:00:00,09:00:00,"Yes","227","221","234"
"56","9/8/2022 17:55:58","52","Female","No","Senior","No",03:30:00,10:30:00,"Yes","251","238","218"
"57","9/8/2022 23:59:22","33","Female","Yes","Sophmore","Yes",00:00:00,08:30:00,"No","268","267","265"
