gene.length,n
2387.6,5
1327.8,5
2520,5
2114.4,5
3146.2,5
2251.6,5
2199.6,5
2170.2,5
1647,5
3693.8,5
2482.2,5
1470.2,5
1542.4,5
2679,5
3064.8,5
2299.8,5
1895.6,5
3210.2,5
3263.6,5
2207,5
2336.4,5
2891.6,5
1891.8,5
2688.6,5
2093,5
2223.6,5
2352,5
1959.4,5
2505.8,5
2627.2,5
2626.2,5
3205.4,5
1910,5
3069,5
1602,5
1534.8,5
2540.8,5
2266.6,5
2870,5
2209,5
2132.4,5
1687,5
2147.8,5
3609.6,5
1813.4,5
3557,5
4044.8,5
3165.6,5
2468,5
2363.6,5
3066.2,5
2736,5
2231.2,5
2850.6,5
2232,5
1435.4,5
2867.8,5
2671.4,5
1685.2,5
2653.6,5
2143.4,5
2476,5
4942,5
3358,5
2628,5
2055.8,5
2980.8,5
2477.8,5
2158.8,5
2766.8,5
2177.8,5
2724,5
2649.6,5
2527,5
2208.4,5
3063.6,5
3439.8,5
4821,5
2504.4,5
2866.4,5
2835,5
4346.6,5
3145.4,5
2438.6,5
2243.4,5
1663.4,5
3531.4,5
2445,5
5734.2,5
1577.8,5
2058.2,5
2312.6,5
2457.2,5
2598,5
1315.8,5
3955.4,5
2375.8,5
2566.4,5
2060,5
3030.2,5
2603.6,5
2599.2,5
2654.6,5
3787.8,5
2468.4,5
2197,5
2793.8,5
4138.6,5
3171.2,5
2497,5
2450.6,5
2136.8,5
2127,5
2707.2,5
2175.8,5
2169.6,5
1669.4,5
1646,5
2169,5
2787.8,5
2306.4,5
2539.4,5
2802.2,5
2581.4,5
2423,5
3593.8,5
2983.6,5
3541.2,5
1655.2,5
4895.2,5
3566.8,5
2054,5
3718.4,5
2844.8,5
2453.6,5
2242.2,5
519.8,5
1962.6,5
2177.4,5
2426.2,5
3575.6,5
2036.8,5
2826.8,5
1709.2,5
2774,5
1957,5
2079.6,5
2275,5
2709.6,5
3384.2,5
4498,5
1705.6,5
3271.4,5
2269.8,5
2610.6,5
2414.2,5
1814,5
1571.2,5
3483,5
3918.6,5
1807.2,5
3062.4,5
3145.6,5
2548.4,5
2185.4,5
2469,5
3920.4,5
1408.4,5
1182.2,5
2454.2,5
4749.2,5
2085.8,5
2148.4,5
2852.6,5
2123,5
2081.2,5
2281.6,5
2649.8,5
2050,5
1434.4,5
1491.2,5
2841.8,5
2267.4,5
1951.6,5
1924,5
1024.4,5
2433,5
2834.2,5
1543,5
2162.8,5
2328.6,5
2932.4,5
1699,5
3011.4,5
2278,5
2831.2,5
2390.4,5
3248.4,5
1493.4,5
3302.8,5
2273.2,5
3133.6,5
3691.6,5
2028,5
3221.6,5
1862.6,5
3518.6,5
3595,5
2253.6,5
2703,5
2024,5
2544.6,5
3144.2,5
3185,5
3957.2,5
3657,5
2338.2,5
2330.6,5
1811.2,5
2062.8,5
2195.4,5
2345,5
2077,5
2569.2,5
2106.4,5
2656.8,5
1918.6,5
6599.8,5
1333.4,5
2175.4,5
2101.6,5
2351.8,5
1719.8,5
2137.6,5
2663.6,5
3452.4,5
4338.4,5
2893.2,5
2215,5
1957,5
1685.2,5
2227.8,5
3086,5
3023.6,5
3707.4,5
3043.4,5
2404,5
4971.6,5
3190,5
2362.4,5
2127.6,5
2809.8,5
3052,5
2855.2,5
3895.4,5
3282.4,5
2355.4,5
6938.4,5
4721.8,5
3070.6,5
2691.8,5
3204.4,5
2311.8,5
2200.6,5
2358,5
1727.2,5
3130.4,5
3951.2,5
3899,5
3025.4,5
2572.4,5
2150.8,5
1529.8,5
2715,5
1423.2,5
2428.6,5
3855,5
2242.2,5
2148.4,5
1953.4,5
1938.6,5
2455.4,5
3594.6,5
1330,5
2630.4,5
4836,5
3522.8,5
4101.8,5
1868.6,5
3841.6,5
2625,5
3866.2,5
1604.8,5
1673.4,5
1628.6,5
2031,5
2980.4,5
2881.4,5
2520.6,5
2953.4,5
2823.4,5
2182,5
1738.4,5
2846.8,5
1853.2,5
1907.6,5
3107.8,5
1770.8,5
2409.4,5
2005.6,5
2405.4,5
3305.6,5
1907.6,5
3032,5
1682,5
1342.8,5
2815.4,5
2660.2,5
1623,5
3473.2,5
3584.4,5
1908.2,5
3261.6,5
4832,5
3250,5
1362.6,5
2124.2,5
2416,5
2004.6,5
2173.4,5
2644.4,5
1399.2,5
2500.2,5
2788.8,5
1496.2,5
4536.2,5
1794,5
1796.4,5
1792.8,5
3424.2,5
1670.2,5
1399.6,5
1400.6,5
1947.6,5
2268,5
3758.6,5
2025,5
2191.2,5
3551.4,5
2427.6,5
2088.4,5
1607,5
1847.2,5
4473.6,5
2295.2,5
2336.2,5
2427.2,5
3429.2,5
2592.6,5
3034.6,5
1291.4,5
2316,5
1790.6,5
3118.4,5
2187,5
2288,5
2420.6,5
2410.2,5
4034.8,5
2857.2,5
2581.2,5
3067.4,5
2305,5
1482,5
2590,5
2357.6,5
2704.4,5
1579.8,5
3847.6,5
2272.4,5
1359.4,5
1857.8,5
1920,5
3025.8,5
2668.4,5
1955.2,5
22399,5
2491.2,5
1545,5
2769.8,5
2348,5
1381,5
1924.4,5
1888,5
2033,5
1909.4,5
3778.6,5
2947.6,5
1624.8,5
1968,5
2804.8,5
4149.8,5
2986.6,5
2894.6,5
1148.2,5
1916,5
3430.6,5
2206.4,5
2943,5
2499.8,5
2288.2,5
2480.4,5
4044.4,5
3309.6,5
2382.2,5
3168.4,5
2744,5
1744,5
3459.8,5
3379.6,5
2695,5
1337.4,5
2471.8,5
1689.2,5
1759.2,5
2259.8,5
4354.4,5
2562,5
1979.2,5
1858.8,5
1678.6,5
3420,5
1349.2,5
3712,5
1405.6,5
2360.6,5
2929.2,5
3102.2,5
2032.8,5
3190.6,5
2869.8,5
2913.2,5
2570.8,5
4493.4,5
4943.8,5
2043.6,5
2184.2,5
2510.2,5
2502.8,5
3096.8,5
2279.4,5
2782,5
1685.2,5
2671.8,5
2653,5
1812,5
2994,5
3395,5
4201.6,5
2895.4,5
1105.2,5
2782.8,5
2909.6,5
2457.4,5
3238.2,5
3361,5
3994.6,5
2788.8,5
1908.6,5
3089.4,5
1923.8,5
1822.6,5
3098.2,5
1653,5
2701.4,5
4019.2,5
2816.4,5
2621.8,5
2324.2,5
4024.6,5
3691,5
2091.8,5
1739.4,5
4710,5
1946,5
2351.6,5
3225.4,5
3829.8,5
2946.6,5
3177.4,5
2437.6,5
1453,5
1935,5
1802,5
3729.2,5
2967,5
3592.8,5
2860.4,5
2894.2,5
2466.6,5
2992.2,5
3029.8,5
2080.4,5
4998,5
2969.8,5
2657.2,5
3536.4,5
3525.2,5
4091.4,5
2262.6,5
2842.2,5
2434,5
3097.2,5
1832.8,5
2823,5
2362,5
1840.2,5
2617.2,5
2398,5
2560.6,5
3718.6,5
4037.4,5
2593.6,5
2046.4,5
2966.4,5
2155.6,5
6344.8,5
3175,5
4374.2,5
4321.4,5
3367.6,5
2102,5
2594.8,5
3118.4,5
3071.6,5
3774.2,5
1859,5
3214,5
1987,5
2033,5
2317.6,5
4281.2,5
2003.2,5
3983.8,5
2575,5
3273,5
2359.8,5
1711.4,5
1357.8,5
2485.4,5
1904.4,5
2618,5
1614,5
2197.8,5
3226.2,5
1851.2,5
2085,5
2853.4,5
1529.2,5
2648.4,5
2257.4,5
3602,5
4235.6,5
4048.6,5
1293,5
1803.8,5
2036,5
1961,5
3810.6,5
4335.2,5
1668,5
2227.4,5
3733.6,5
1955.2,5
2690.4,5
2086,5
3397.4,5
3424,5
3242.2,5
2157.6,5
1724,5
5033.8,5
3248.4,5
2671.8,5
2398.6,5
2902.2,5
3448.4,5
3204.4,5
2322.4,5
3969,5
1824.4,5
2115.8,5
2918,5
2871.6,5
1949.2,5
2111.6,5
964.2,5
4286.8,5
2322.4,5
2070,5
1711.2,5
3026.4,5
1784.4,5
2102.6,5
2756.4,5
3523.8,5
2373.2,5
1957.6,5
2296.4,5
2041.6,5
3034.4,5
3271.4,5
1955.4,5
3540.6,5
2408.2,5
2762.6,5
3874.2,5
2638.2,5
1544.8,5
2236.4,5
2948,5
1008.4,5
2422.2,5
2205.4,5
1828.4,5
1581.2,5
2206.8,5
3486.6,5
2918.4,5
3471.4,5
2421.2,5
2903.4,5
2404.8,5
1562.2,5
2524,5
2788.4,5
2854.6,5
1491.8,5
1973,5
2108.6,5
6451,5
2393.4,5
2934.8,5
3414.6,5
2671,5
1215,5
2225.8,5
1657,5
2028.6,5
3197.4,5
2676.2,5
2021.4,5
2620.8,5
2890.8,5
1894.6,5
3044,5
3514,5
2774.6,5
2527.2,5
6718.4,5
1877,5
2433.2,5
4891.2,5
1993.8,5
2907.4,5
2755.8,5
2876.8,5
3306.8,5
2819,5
2848,5
1879,5
3680,5
2227,5
1755,5
2779.6,5
1769.8,5
2063.6,5
3690.6,5
2837.4,5
2418.6,5
2801,5
1549.6,5
2520.8,5
1374.2,5
3952.6,5
2588.4,5
4334.6,5
3193,5
3079.6,5
2404.8,5
1926.8,5
2942.8,5
5583.8,5
1937.4,5
2299.6,5
1667.4,5
3806.2,5
3048.6,5
3518.8,5
3020.2,5
2963.8,5
1379.6,5
3046.8,5
1675,5
2481.8,5
3008.8,5
2353.8,5
3472.8,5
1906.8,5
2569,5
1595.6,5
3262.2,5
2704,5
3927.2,5
3141,5
3286.8,5
2117.6,5
1947.6,5
2620.8,5
2125.4,5
3229,5
2200.6,5
3185,5
2102,5
2136.6,5
1796.4,5
2274.8,5
4095.8,5
2323.2,5
3403.8,5
2336.6,5
3398.2,5
2537.8,5
2486,5
3423.4,5
4001.8,5
2201.8,5
1642,5
3267,5
3416.6,5
1846.2,5
2077.2,5
2821,5
3419.2,5
2722.6,5
1716.6,5
4012.6,5
4495.4,5
3349,5
1675,5
2612.2,5
2652.2,5
3622.4,5
1913.8,5
2504.8,5
3950.2,5
1756.6,5
3035.6,5
3522.2,5
1651,5
2067.2,5
3300.4,5
2097.6,5
2809.4,5
2469.6,5
1856.6,5
2177.8,5
2969.4,5
2453.4,5
2236.4,5
2056,5
3703,5
1311.4,5
2459,5
1877.2,5
2840.6,5
3144.2,5
3502,5
4226,5
2953,5
4321,5
2283.4,5
2746,5
2432.2,5
2922.2,5
2020.8,5
2309.2,5
2181.8,5
2656.8,5
2213,5
3351.2,5
2006.4,5
1752.4,5
2786.4,5
2464.4,5
2710.6,5
1881.4,5
1578,5
3844.2,5
2156.8,5
2415,5
1977.2,5
2634.2,5
2526.6,5
1951,5
2532,5
2635.4,5
3436.8,5
3595,5
3535.6,5
2269.6,5
2948,5
3358,5
3569.8,5
2568.8,5
2364.2,5
1915.4,5
1960.6,5
2065,5
1888.8,5
3475.2,5
2149.2,5
2610,5
3405,5
1664.6,5
2479.8,5
2693.8,5
1505.4,5
3291,5
3028.8,5
3472.6,5
2906.6,5
2724.6,5
2190.8,5
2149.6,5
3192.2,5
3150.2,5
1944,5
3436.4,5
3779.6,5
1094.8,5
2922.4,5
2095.8,5
1558,5
4289.4,5
2100,5
2787.6,5
2281.6,5
