name,url,date,wins
Juro Fukuda,http://boxrec.com/boxer/195508,1943-11-26,27
Hilaire Pratesi,http://boxrec.com/boxer/56069,1955-06-27,26
Rocky Marciano,http://boxrec.com/boxer/9032,1955-09-21,49
Joe Devlin,http://boxrec.com/boxer/69735,1960-04-29,1 5
Dick Tobin,http://boxrec.com/boxer/118985,1960-06-07,12
Ray Schlamp,http://boxrec.com/boxer/32768,1964-06-11,15
Laszlo Papp,http://boxrec.com/boxer/34798,1964-10-09,27
Alex Mack,http://boxrec.com/boxer/93050,1969-11-25,13
Agustin Senin,http://boxrec.com/boxer/79869,1972-09-27,42
Roberto Ayala,http://boxrec.com/boxer/94505,1973-12-18,17
Calvin Cross,http://boxrec.com/boxer/22275,1978-10-06,9
Mzukisi Skweyiya,http://boxrec.com/boxer/104102,1978-10-07,21
John Lee,http://boxrec.com/boxer/35611,1980-07-26,15
Johnny Compo,http://boxrec.com/boxer/23304,1981-03-26,14
Dave Williams,http://boxrec.com/boxer/154826,1981-11-21,20
Jimmy Connelly,http://boxrec.com/boxer/63403,1982-10-28,17
Kenny Klingman,http://boxrec.com/boxer/97575,1983-07-30,22
Marvin Shuler,http://boxrec.com/boxer/40086,1984-02-25,9
Romain Mianzula,http://boxrec.com/boxer/92826,1985-05-24,26
Gaetano Ardito,http://boxrec.com/boxer/89096,1985-10-12,21
Ji-Won Kim,http://boxrec.com/boxer/44627,1986-06-01,16
Juan Carlos Gimenez,http://boxrec.com/boxer/214978,1986-07-11,31
Kevin Babineaux,http://boxrec.com/boxer/27396,1986-07-24,14
Chul Kwon,http://boxrec.com/boxer/170370,1987-05-16,25
Terry Marsh,http://boxrec.com/boxer/31401,1987-07-01,26
David Gutierrez,http://boxrec.com/boxer/990,1987-09-03,17
Lee Canalito,http://boxrec.com/boxer/27620,1987-09-10,21
Nelson Alves,http://boxrec.com/boxer/27899,1991-12-06,18
Jemal Hinton,http://boxrec.com/boxer/40185,1992-01-21,22
Vinny Letizia,http://boxrec.com/boxer/16800,1993-04-26,16
Kirk Daley,http://boxrec.com/boxer/68043,1994-05-28,19
