"","chrom","ind","taxa","site","subsp","cutoff0.9","weighted","ind2","Tag","lat","lon","ele","distance2hetero","id","replicate","uniqueID","fl_1_open","fl_1_anthers","fl_1_stigma","fl_1_protandry","fl_1_herkogamy","fl_2_open","fl_2_anthers","fl_2_stigma","fl_2_protandry","fl_2_herkogamy","node","date_flowered","avg_protandry","avg_herkogamy","notes","date_flowered_std","mean_petal_area_sq_cm","number_petals_measured","petal_color"
"1","whole_genome","S22-1002p","S22_p","S22","P",0.0264719376051384,0.0648341462539382,"1002","S22-1002-P",35.834568,-118.452677,929.083008,44.0889620840081,1002,"N","S22-1002","3/24/20","3/24/20","3/24/20",0,1,"3/24/20","3/24/20","3/24/20",0,1.5,9,"3/24/20",0,1.25,NA,28,0.1585,2,"pink"
"2","whole_genome","S22-1003p","S22_p","S22","P",0.0328894736842105,0.0753069578606769,"1003","S22-1003-P",35.834216,-118.452697,949.877686,29.8427346729726,1003,"N","S22-1003","3/5/20","3/5/20","na",NA,1,"3/8/20","3/8/20","3/8/20",0,0.5,18,"3/5/20",0,0.75,NA,9,0.2375,2,"pink"
"3","whole_genome","S22-1004p","S22_p","S22","P",0.0894757102986623,0.130164222271553,"1004","S22-1004-P",35.834132,-118.45266,951.565063,25.3859043180583,1004,"N","S22-1004","3/2/20","3/2/20","3/4/20",2,4,"3/9/20","3/9/20","3/9/20",0,1,14,"3/2/20",1,2.5,NA,6,0.2475,2,"pink"
"4","whole_genome","S22-1005p","S22_p","S22","P",0.00418329858936367,0.0193692801752194,"1005","S22-1005-P",35.833995,-118.45279,959.278259,30.1499509090508,1005,"N","S22-1005","2/26/20","2/26/20","2/26/20",0,2,"3/2/20","3/2/20","3/2/20",0,0,8,"2/26/20",0,1,NA,1,0.2485,2,"white"
"5","whole_genome","S22-1006p","S22_p","S22","P",0.00414016334826301,0.0196278812617785,"1006","S22-1006-P",35.834002,-118.452817,959.662109,32.3245356142,1006,"N","S22-1006","2/28/20","2/28/20","2/28/20",0,0,"3/2/20","3/2/20","3/2/20",0,0,11,"2/28/20",0,0,NA,3,0.206,2,"white"
"6","whole_genome","S22-1007p","S22_p","S22","P",0.00331791205196505,0.0185163638291794,"1007","S22-1007-P",35.833987,-118.452829,957.70929,32.0604851895147,1007,"N","S22-1007","2/25/20","2/25/20","2/25/20",0,0,"2/25/20","2/25/20","2/25/20",0,0,19,"2/25/20",0,0,NA,0,0.3285,2,"white"
"7","whole_genome","S22-1008p","S22_p","S22","P",0.00343878954607978,0.0182605616504204,"1008","S22-1008-P",35.834007,-118.452785,956.509521,30.7548706581726,1008,"N","S22-1008","2/26/20","2/26/20","2/26/20",0,0,"2/26/20","2/26/20","2/26/20",0,0,8,"2/25/20",0,0,NA,0,0.2305,2,"white"
"8","whole_genome","S22-1009p","S22_p","S22","P",0.0485503047471886,0.0951181857357487,"1009","S22-1009-P",35.834086,-118.452588,965.351318,19.8828556977111,1009,"N","S22-1009","3/4/20","3/4/20","3/4/20",0,0,"3/7/20","3/7/20","3/7/20",0,0,9,"3/4/20",0,0,NA,8,0.2275,2,"pink"
"9","whole_genome","S22-1010p","S22_p","S22","P",0.0507562520768794,0.0981763865967901,"1010","S22-1010-P",35.834099,-118.452607,966.680603,21.1393256490148,1010,"N","S22-1010","3/12/20","3/12/20","3/12/20",0,1,"3/18/20","3/18/20","3/19/20",1,1,8,"3/12/20",0.5,1,NA,16,0.1845,2,"pink"
"10","whole_genome","S22-1011p","S22_p","S22","P",0.0364724864130435,0.0802595328276687,"1011","S22-1011-P",35.834091,-118.452597,966.467346,20.4925120139245,1011,"N","S22-1011","3/1/20","3/1/20","3/1/20",0,0.5,"3/3/20","3/3/20","3/3/20",0,1,15,"3/1/20",0,0.75,NA,5,0.318,2,"pink"
"11","whole_genome","S22-1012p","S22_p","S22","P",0.0385325453551574,0.0779756024899032,"1012","S22-1012-P",35.834092,-118.45259,967.151978,19.8559777024648,1012,"N","S22-1012","3/26/20","3/26/20","3/26/20",0,0,"3/27/20","3/27/20","3/27/20",0,0,9,"3/26/20",0,0,NA,30,0.148,2,"pink"
"12","whole_genome","S22-1013p","S22_p","S22","P",0.0339889158516038,0.0807041245644388,"1013","S22-1013-P",35.834047,-118.452501,964.997986,15.0228019237985,1013,"N","S22-1013","3/17/20","3/17/20","3/18/20",1,0,"3/17/20","3/17/20","3/18/20",1,0,21,"3/17/20",1,0,NA,21,0.236,2,"pink"
"13","whole_genome","S22-1014p","S22_p","S22","P",0.0333294456932016,0.0791831910291325,"1014","S22-1014-P",35.83398,-118.452506,969.077332,16.6471074239299,1014,"N","S22-1014","3/19/20","3/19/20","3/19/20",0,0,"3/20/20","3/20/20","3/21/20",1,0,16,"3/19/20",0.5,0,NA,23,0.2125,2,"pink"
"14","whole_genome","S22-1016p","S22_p","S22","P",0.035753200762735,0.0792189597817045,"1016","S22-1016-P",35.833922,-118.452573,974.497314,14.913615448765,1016,"N","S22-1016","3/8/20","3/8/20","3/8/20",0,2,"3/10/20","3/10/20","3/11/20",1,1,16,"3/8/20",0.5,1.5,NA,12,0.4035,2,"white"
"15","whole_genome","S22-1017p","S22_p","S22","P",0.0337736634075307,0.0680895671025813,"1017","S22-1017-P",35.833919,-118.452579,974.624023,14.8130246302694,1017,"N","S22-1017","3/2/20","3/2/20","3/3/20",1,2,"3/3/20","3/3/20","3/3/20",0,0,18,"3/2/20",0.5,1,NA,6,0.32,2,"white"
"16","whole_genome","S22-1018p","S22_p","S22","P",0.0380159494306765,0.0803186297038262,"1018","S22-1018-P",35.833919,-118.452564,970.305847,14.5195861042026,1018,"N","S22-1018","3/5/20","3/5/20","3/5/20",0,0,"1/8/20","3/8/20","3/8/20",0,1,16,"3/5/20",0,0.5,NA,9,0.395,2,"white"
"17","whole_genome","S22-1020x","S22_x","S22","X",0.107350096711799,0.201940819610159,"1020","S22-1020-X",35.833759,-118.452662,971.429871,19.6838893731591,1020,"N","S22-1020","3/31/20","4/1/20","4/8/20",7,5,"4/1/20","4/2/20","4/10/20",8,7,16,"3/31/20",7.5,6,NA,35,1.8235,2,"pink"
"18","whole_genome","S22-1022x","S22_x","S22","X",0.0944447119628898,0.176124857517056,"1022","S22-1022-X",35.833779,-118.452559,983.596924,15.7496380718596,1022,"N","S22-1022","3/24/20","3/24/20","3/30/20",6,10,"3/24/20","3/25/20","3/31/20",6,9,18,"3/24/20",6,9.5,NA,28,2.0475,2,"pink"
"19","whole_genome","S22-1023x","S22_x","S22","X",0.125246676995841,0.213140452550922,"1023","S22-1023-X",35.833911,-118.452475,977.279236,8.39492519817006,1023,"N","S22-1023","3/20/20","3/21/20","3/25/20",4,5,"3/22/20","3/22/20","3/27/20",5,4,16,"3/20/20",4.5,4.5,NA,24,2.0195,2,"pink"
"20","whole_genome","S22-1025x","S22_x","S22","X",0.138857709888894,0.218169451054315,"1025","S22-1025-X",35.834153,-118.452379,967.341492,18.879604926349,1025,"N","S22-1025","4/1/20","4/1/20","4/13/20",12,8,"4/4/20","4/4/20","4/16/20",12,NA,16,"4/1/20",12,8,NA,36,1.7745,2,"pink"
"21","whole_genome","S22-1026x","S22_x","S22","X",0.0801239275500477,0.16602314802852,"1026","S22-1026-X",35.834127,-118.45238,970.142456,17.5860302382664,1026,"N","S22-1026","3/17/20","3/18/20","3/24/20",6,5,"3/18/20","3/19/20","3/25/20",6,6,12,"3/17/20",6,5.5,NA,21,1.618,2,"pink"
